Rank,Mountain,Height,Drop,lat,lon,Range,Region,Country,Firstascent
20,Mönch,4107,584,46°33′30″N,07°59′50″E,I/B-12.II-B,Bern/Valais,CH,1857
21,Barre des Écrins,4102,2045,44°55′21″N,06°21′36″E,I/A-05.III-A,Hautes-Alpes,FR,1864
22,Schreckhorn,4078,792,46°35′24″N,08°07′05″E,I/B-12.II-C,Bern,CH,1861
23,Ober Gabelhorn,4063,536,46°02′19″N,07°40′05″E,I/B-09.II-D,Valais,CH,1865
24,Gran Paradiso,4061,1888,45°31′05″N,07°16′02″E,I/B-07.IV-A,Aosta Valley,IT,1860
25,Piz Bernina,4049,2234,46°22′56″N,09°54′29″E,II/A-15.III-A,Graubünden,CH,1850
26,Gross Fiescherhorn,4049,398,46°33′05″N,08°03′41″E,I/B-12.II-B,Bern/Valais,CH,1862
27,Gross Grünhorn,4044,305,46°31′55″N,08°04′40″E,I/B-12.II-B,Valais,CH,1865
28,Weissmies,4017,1186,46°07′40″N,08°00′44″E,I/B-09.V-C,Valais,CH,1855
29,Lagginhorn,4010,511,46°09′26″N,08°00′11″E,I/B-09.V-C,Valais,CH,1856
30,Piz Zupò,3996,405,46°22′06″N,09°55′53″E,II/A-15.III-A,Graub./Sondrio,CH/IT,1863
31,Gletscherhorn,3983,346,46°30′46″N,07°58′04″E,I/B-12.II-D,Bern/Valais,CH,1867
32,Meije,3982,824,45°00′17″N,06°18′31″E,I/A-05.III-B,Isère/H-Alpes,FR,1877
33,Eiger,3967,362,46°34′39″N,08°00′19″E,I/B-12.II-B,Bern,CH,1858
34,Grivola,3969,714,45°35′45″N,07°15′27″E,I/B-07.IV-A,Aosta Valley,IT,1859
35,Grand Cornier,3962,431,46°03′07″N,07°36′41″E,I/B-09.II-C,Valais,CH,1865
36,Ailefroide,3954,762,44°53′06″N,06°21′23″E,I/A-05.III-C,Isère/H-Alpes,FR,1870
37,Mont Pelvoux,3943,465,44°53′51″N,06°23′48″E,I/A-05.III-C,Hautes-Alpes,FR,1828
38,Piz Roseg,3937,415,46°22′25″N,09°52′59″E,II/A-15.III-A,Graubünden,CH,1865
39,Bietschhorn,3934,806,46°23′30″N,07°51′03″E,I/B-12.II-E,Valais,CH,1859
40,Trugberg,3933,306,46°32′48″N,08°00′55″E,I/B-12.II-B,Valais,CH,1871
41,Aiguille de Tré la Tête,3930,588,45°47′41″N,06°48′54″E,I/B-07.V-A,Aosta Valley,IT,1864
42,Pic Sans Nom,3913,340,44°53′36″N,06°23′02″E,I/A-05.III-C,Hautes-Alpes,FR,1877
43,Gross Wannenhorn,3906,626,46°29′38″N,08°05′49″E,I/B-12.II-B,Valais,CH,1864
44,Ortler,3905,1953,46°30′32″N,10°32′41″E,II/C-28.I-A,South Tyrol,IT,1804
45,Aiguille d'Argentière,3901,473,45°57′36″N,07°01′12″E,I/B-07.V-C,Valais/U-Savoy,CH/FR,1864
46,Ruinette,3875,851,45°58′45″N,07°24′01″E,I/B-09.I-D,Valais,CH,1865
47,Aiguille de Triolet,3870,301,45°55′00″N,07°01′28″E,I/B-07.V-B,U-Savoy/Aosta,FR/IT,1874
48,Grande Casse,3855,1305,45°24′19″N,06°49′40″E,I/B-07.II-B,Savoy,FR,1860
49,Königspitze / Gran Zebrù,3851,424,46°28′43″N,10°34′06″E,II/C-28.I-A,S-Tyrol/Sondrio,IT,1854
50,Aiguille du Midi,3842,310,45°52′43″N,06°53′15″E,I/B-07.V-B,Upper Savoy,FR,1856
51,Monviso / Monte Viso / Vísol,3841,2062,44°40′03″N,07°05′27″E,I/A-04.I-C,Cuneo,IT,1861
52,Bouquetins,3838,490,45°58′56″N,07°32′43″E,I/B-09.II-A,Valais/Aosta,CH/IT,1871
53,Tour Noir,3837,302,45°56′56″N,07°02′15″E,I/B-07.V-C,Valais/U-Savoy,CH/FR,1876
54,Aiguille du Chardonnet,3824,503,45°58′08″N,07°00′04″E,I/B-07.V-C,Upper Savoy,FR,1865
55,Nesthorn,3821,636,46°24′48″N,07°55′34″E,I/B-12.II-E,Valais,CH,1865
56,Mont Dolent,3820,330,45°55′21″N,07°02′46″E,I/B-07.V-C,Valais/Aosta,CH/IT,1864
57,Aiguille des Glaciers,3816,301,45°46′43″N,06°48′09″E,I/B-07.V-A,Aosta/U-Savoy,FR/IT,1878
58,Le Râteau,3809,452,45°00′03″N,06°16′59″E,I/A-05.III-B,Isère/H-Alpes,FR,1873
59,Großglockner,3798,2428,47°04′27″N,12°41′40″E,II/A-17.II-C,Carinthia/E-Tyrol,AT,1800
60,Schinhorn,3797,422,46°27′06″N,07°56′48″E,I/B-12.II-E,Valais,CH,1869
61,Pointe de Zinal,3789,301,46°01′37″N,07°37′50″E,I/B-09.II-C,Valais,CH,1870
62,Lauterbrunnen Breithorn,3780,443,46°28′43″N,07°52′36″E,I/B-12.II-D,Bern/Valais,CH,1865
63,Mont Pourri,3779,1127,45°31′41″N,06°51′37″E,I/B-07.II-C,Savoy,FR,1861
64,Aiguille Noire de Peuterey,3772,343,45°48′55″N,06°53′35″E,I/B-07.V-B,Aosta Valley,IT,1877
65,Wildspitze,3770,2263,46°53′07″N,10°52′02″E,II/A-16.I-A,North Tyrol,AT,1848
66,Monte Cevedale,3769,531,46°26′38″N,10°37′00″E,II/C-28.I-A,Sondrio/Trentino,IT,1865
67,Grande Ruine,3765,496,44°58′04″N,06°19′47″E,I/A-05.III-A,Isère/H-Alpes,FR,1873
68,Aiguille de Leschaux,3759,309,45°53′15″N,07°00′25″E,I/B-07.V-B,U-Savoy/Aosta,FR/IT,1872
69,Pointe de Charbonnel,3752,997,45°16′49″N,07°03′18″E,I/B-07.I-A,Savoy,FR,1862
70,Piz Morteratsch,3751,324,46°24′10″N,09°54′06″E,II/A-15.III-A,Graubünden,CH,1858
71,Aiguille de la Grande Sassière ,3747,792,45°30′18″N,07°00′00″E,I/B-07.III-A,Savoy/Aosta,FR/IT,1808
72,Weißkugel,3739,569,46°47′52″N,10°43′35″E,II/A-16.I-A,N-Tyrol/S-Tyrol,AT/IT,1845
73,Roche Faurio,3730,363,44°56′31″N,06°21′29″E,I/A-05.III-A,Isère,FR,1873
74,Mont Vélan,3726,620,45°53′30″N,07°15′06″E,I/B-09.I-B,Valais/Aosta,CH/IT,1779
75,Evêque,3716,647,45°57′52″N,07°30′10″E,I/B-09.I-C,Valais,CH,1867
76,Combin de Corbassière ,3716,312,45°58′41″N,07°16′50″E,I/B-09.I-B,Valais,CH,1851
77,La Singla,3714,452,45°56′45″N,07°28′19″E,I/B-09.I-C,Valais/Aosta,CH/IT,1867
78,Wetterhörner (Mittelhorn),3704,579,46°38′07″N,08°07′29″E,I/B-12.II-C,Bern,CH,1845
79,Le Pleureur,3704,467,46°00′59″N,07°22′09″E,I/B-09.I-D,Valais,CH,1867
80,Balmhorn,3698,1022,46°25′30″N,07°41′37″E,I/B-12.II-D,Bern/Valais,CH,1864
81,Dent Parrachée,3697,1180,45°17′21″N,06°45′23″E,I/B-07.II-D,Savoy,FR,1862
82,Torre del Gran San Pietro,3692,377,45°31′33″N,07°21′32″E,I/B-07.IV-A,Aosta/Turin,IT,1867
83,Monte Disgrazia,3678,1116,46°16′09″N,09°44′58″E,II/A-15.III-B,Sondrio,IT,1862
84,Punta San Matteo,3678,369,46°22′40″N,10°34′02″E,II/C-28.I-A,Sondrio/Trentino,IT,1865
85,Uia di Ciamarella,3676,664,45°19′43″N,07°08′43″E,I/B-07.I-B,Turin,IT,1857
86,Dent de Perroc,3676,408,46°02′22″N,07°31′23″E,I/B-09.II-A,Valais,CH,1871
87,Dômes de Miage,3673,324,45°48′56″N,06°48′01″E,I/B-07.V-A,Savoy/U-Savoy,FR,1858
88,Les Bans,3669,386,44°50′55″N,06°20′12″E,I/A-05.III-C,Isère/H-Alpes,FR,1878
89,Großvenediger,3666,1185,47°06′33″N,12°20′47″E,II/A-17.II-A,E-Tyrol/Salzburg,AT,1841
90,Montagne des Agneaux,3664,460,44°57′01″N,06°25′50″E,I/A-05.III-A,Hautes-Alpes,FR,1873
91,Blüemlisalphorn,3661,874,46°29′20″N,07°46′21″E,I/B-12.II-D,Bern,CH,1860
92,Portjengrat: Pizzo d'Andolla,3654,411,46°06′03″N,08°02′05″E,I/B-09.V-B,Valais/V-C-O,CH/IT,1871
93,Grande Motte,3653,401,45°24′41″N,06°52′13″E,I/B-07.II-B,Savoy,FR,1864
94,Aiguilles Rouges d'Arolla,3644,789,46°03′19″N,07°26′01″E,I/B-09.I-D,Valais,CH,1870
95,Ciarforon,3643,349,45°29′36″N,07°14′50″E,I/B-07.IV-A,Aosta/Turin,IT,1871
96,Doldenhorn,3638,654,46°28′08″N,07°44′05″E,I/B-12.II-D,Bern,CH,1862
97,Albaron,3637,327,45°19′57″N,07°06′10″E,I/B-07.I-B,Savoy,FR,1866
98,Dammastock,3630,1466,46°38′36″N,08°25′16″E,I/B-12.I-A,Uri/Valais,CH,1864
99,Hintere Schwärze [Note 7],3628,835,46°46′24″N,10°54′53″E,II/A-16.I-A,N-Tyrol/S-Tyrol,AT/IT,1867
100,Levanna Centrale,3619,525,45°24′37″N,07°10′19″E,I/B-07.I-C,Savoy/Turin,FR/IT,1875
101,Tödi (Piz Russein),3614,1570,46°48′40″N,08°54′53″E,I/B-13.II-A,Glarus/Graub.,CH,1824
102,Pointe de Ronce,3612,500,45°15′52″N,06°58′43″E,I/B-07.I-A,Savoy,FR,1784
103,Les Diablons,3609,379,46°08′33″N,07°40′16″E,I/B-09.II-D,Valais,CH,1863
104,Grande Rousse/Bec de l'Invergnan,3607,525,45°33′48″N,07°05′04″E,I/B-07.III-A,Aosta Valley,IT,1874
105,Tsanteleina,3602,490,45°28′46″N,07°02′46″E,I/B-07.III-A,Savoy/Aosta,FR/IT,1865
106,Aiguille du Plat de la Selle,3596,423,44°57′52″N,06°13′24″E,I/A-05.III-B,Isère,FR,1876
107,Piz Glüschaint,3594,341,46°21′45″N,09°50′24″E,II/A-15.III-A,Graub./Sondrio,CH/IT,1863
108, Bessanèse /Uia di Bessanese,3592,386,45°18′08″N,07°07′10″E,I/B-07.I-B,Savoy/Turin,FR/IT,1857
109,Les Rouies,3589,506,44°51′52″N,06°15′31″E,I/A-05.III-D,Isère,FR,1873
110,Grand Roc Noir,3582,818,45°19′49″N,06°53′31″E,I/B-07.II-A,Savoy,FR,
111,Mont Brulé,3578,365,45°57′18″N,07°32′18″E,I/B-09.II-A,Valais/Aosta,CH/IT,1876
112,Croix Rousse/Croce Rossa[Note 8],3571,499,45°15′38″N,07°08′05″E,I/B-07.I-B,Savoy/Turin,FR/IT,1857
113,Olan,3564,552,44°51′34″N,06°11′50″E,I/A-05.III-D,Isère/H-Alpes,FR,1875
114,Großes Wiesbachhorn,3564,481,47°09′23″N,12°45′19″E,II/A-17.II-C,Salzburg,AT,1795
115,Plaret (fr),3563,362,44°58′07″N,06°15′36″E,I/A-05.III-B,Isère,FR,1877
116,Cime de Clot Châtel,3563,320,44°53′51″N,06°16′49″E,I/A-05.III-D,Isère,FR,1877
117,Aiguille de Péclet,3562,766,45°16′53″N,06°37′28″E,I/B-07.II-E,Savoy,FR,1878
118,Tschingelhorn,3562,388,46°28′43″N,07°50′55″E,I/B-12.II-D,Bern/Valais,CH,1865
119,Monte Emilius,3559,733,45°40′44″N,07°23′05″E,I/B-07.IV-C,Aosta Valley,IT,1826
120,Tête de l'Étret,3559,310,44°53′24″N,06°14′43″E,I/A-05.III-D,Isère,FR,1876
121,Presanella,3558,1676,46°13′12″N,10°39′50″E,II/C-28.III-B,Trentino,IT,1864
122,Aouille Tseuque,3554,345,45°55′49″N,07°26′35″E,I/B-09.I-C,Valais/Aosta,CH/IT,
123,Monte Leone,3553,1144,46°14′58″N,08°06′36″E,I/B-10.I-A,Valais/V-C-O,CH/IT,1859
124,Großer Ramolkogel,3550,380,46°50′48″N,10°57′32″E,II/A-16.I-A,North Tyrol,AT,1862
125,Vertainspitze,3545,422,46°32′14″N,10°38′08″E,II/C-28.I-A,South Tyrol,IT,1865
126,Schalfkogel,3540,351,46°48′06″N,10°57′33″E,II/A-16.I-A,North Tyrol,AT,1830
127,Adamello,3539,664,46°09′21″N,10°29′46″E,II/C-28.III-A,Brescia,IT,1864
128,Rocciamelone,3538,310,45°12′14″N,07°04′37″E,I/B-07.I-A,Turin,IT,1358
129,Watzespitze,3533,489,46°59′22″N,10°47′44″E,II/A-16.I-C,North Tyrol,AT,1869
130,Mont Gelé,3518,619,45°54′15″N,07°21′58″E,I/B-09.I-C,Valais/Aosta,CH/IT,1861
131,Weißseespitze,3518,345,46°50′48″N,10°43′02″E,II/A-16.I-A,N-Tyrol/S-Tyrol,AT/IT,1870
132,Aiguille Méridionale d'Arves,3514,1433,45°07′38″N,06°20′13″E,I/A-05.I-A,H-Alpes/Savoy,FR,1878
133,Fineilspitze,3514,504,46°46′49″N,10°49′55″E,II/A-16.I-A,N-Tyrol/S-Tyrol,AT/IT,1865
134,Punta Tersiva,3512,596,45°37′14″N,07°28′34″E,I/B-07.IV-C,Aosta Valley,IT,1842
135,Hochfeiler,3509,981,46°58′20″N,11°43′40″E,II/A-17.I-B,N-Tyrol/S-Tyrol,AT/IT,1865
136,Zuckerhütl,3507,1033,46°57′52″N,11°09′14″E,II/A-16.II-A,North Tyrol,AT,1863
137,Aiguille de Scolette/Pierre Menue,3506,1069,45°09′36″N,06°46′07″E,I/A-04.III-B,Savoy/Turin,FR/IT,1875
138,Becca di Luseney / Pic de Luseney,3504,646,45°52′14″N,07°29′28″E,I/B-09.II-B,Aosta Valley,IT,1866
139,Sustenhorn,3503,414,46°41′56″N,08°27′19″E,I/B-12.I-A,Bern/Uri,CH,1841
140,Dreiherrnspitze,3499,581,47°04′09″N,12°14′27″E,II/A-17.II-A,E-Tyr/Salz/S-Tyr,AT/IT,1866
141,Schrankogel,3497,545,47°02′38″N,11°05′57″E,II/A-16.II-B,North Tyrol,AT,1840
142,Rötspitze,3496,653,47°01′37″N,12°12′19″E,II/A-17.II-A,E-Tyrol/S-Tyrol,AT/IT,1854
143,Grande Traversière (it),3496,342,45°31′23″N,07°03′21″E,I/B-07.III-A,Aosta Valley,IT,1885
144,M. Morion Sud/M. Rion Méridional,3489,345,45°52′41″N,07°21′55″E,I/B-09.I-C,Aosta Valley,IT,
145,Grand Nomenon (it),3488,389,45°36′43″N,07°14′10″E,I/B-07.IV-A,Aosta Valley,IT,1877
146,Sonnighorn/ Pizzo Bottarello,3487,340,46°04′27″N,08°01′20″E,I/B-09.V-B,Valais/V-C-O,CH/IT,1879
147,Testa del Rutor,3486,850,45°37′51″N,07°00′52″E,I/B-07.III-B,Aosta Valley,IT,1858
148,Grande Aiguille Rousse,3482,390,45°25′59″N,07°06′35″E,I/B-07.I-C,Savoy,FR,1878
149,Pic de Bonvoisin (it),3481,397,44°49′25″N,06°20′49″E,I/A-05.III-C,Hautes-Alpes,FR,1879
150,Großer Möseler,3480,455,46°59′33″N,11°46′55″E,II/A-17.I-B,N-Tyrol/S-Tyrol,AT/IT,1865
151,Hochwilde,3480,353,46°45′56″N,11°01′20″E,II/A-16.I-A,N-Tyrol/S-Tyrol,AT/IT,1852
152,Olperer,3476,1231,47°03′11″N,11°39′32″E,II/A-17.I-A,North Tyrol,AT,1867
153,Ruderhofspitze,3474,370,47°02′22″N,11°08′36″E,II/A-16.II-B,North Tyrol,AT,1864
154,Hinterer Seelenkogel,3472,441,46°48′06″N,11°02′40″E,II/A-16.I-B,N-Tyrol/S-Tyrol,AT/IT,1871
155,Grande Rousse S (Pic Bayle),3465,1175,45°08′16″N,06°08′09″E,I/A-05.I-B,Isère,FR,1874
156,Roche de la Muzelle,3465,529,44°55′52″N,06°06′24″E,I/A-05.III-E,Isère,FR,1875
157,Carè Alto,3463,481,46°06′29″N,10°35′46″E,II/C-28.III-A,Trentino,IT,1865
158,Bliggspitze[Note 11],3453,390,46°55′05″N,10°47′10″E,II/A-16.I-C,North Tyrol,AT,1874
158,Vordere Ölgrubenspitze[Note 11],3456,390,46°54′30″N,10°46′24″E,II/A-16.I-C,North Tyrol,AT,1876
160,Piz Corvatsch,3451,383,46°24′30″N,09°48′58″E,II/A-15.III-A,Graubünden,CH,1850
161,Rinderhorn,3448,412,46°24′49″N,07°39′15″E,I/B-12.II-D,Valais,CH,1854
162,Wasenhorn,3447,303,46°29′53″N,08°09′57″E,I/B-12.II-E,Valais,CH,1885
163,Hintere Eggenspitze / Cima Sternai,3443,478,46°28′40″N,10°46′14″E,II/C-28.I-A,S-Tyrol/Trentino,IT,1868
164,Roc du Mulinet/Cima Martellot (it),3442,342,45°22′51″N,07°09′46″E,I/B-07.I-B,Savoy/Turin,FR/IT,1878
165,Sirac (fr),3441,357,44°47′23″N,06°18′25″E,I/A-05.III-C,Hautes-Alpes,FR,1877
166,Piz Tremoggia,3441,349,46°21′07″N,09°49′19″E,II/A-15.III-A,Graub./Sondrio,CH/IT,1859
167,Dosson di Genova,3441,313,46°08′55″N,10°33′13″E,II/C-28.III-A,Brescia/Trentino,IT,1882
168,Cima de' Piazzi,3439,1202,46°25′00″N,10°17′06″E,II/A-15.IV-B,Sondrio,IT,1867
169,Lagaunspitze,3439,422,46°44′21″N,10°44′21″E,II/A-16.I-A,South Tyrol,IT,1876
170,Zufrittspitze,3439,309,46°30′07″N,10°46′56″E,II/C-28.I-A,South Tyrol,IT,1868
171,Taou Blanc (it),3438,415,45°31′20″N,07°08′53″E,I/B-07.III-A,Aosta Valley,IT,1880
172,Hochgall,3436,1148,46°54′39″N,12°08′23″E,II/A-17.III-A,South Tyrol,IT,1854
173,Gspaltenhorn,3436,599,46°30′42″N,07°49′39″E,I/B-12.II-D,Bern,CH,1869
174,Stellihorn,3436,598,46°02′11″N,08°00′03″E,I/B-09.V-B,Valais,CH,
175,Pointe de la Sana,3436,525,45°23′06″N,06°55′05″E,I/B-07.II-A,Savoy,FR,1877
176,Punta Bianca di Bioula (it),3427,463,45°35′12″N,07°10′00″E,I/B-07.III-A,Aosta Valley,IT,
177,Verpeilspitze,3425,415,47°00′12″N,10°48′18″E,II/A-16.I-C,North Tyrol,AT,1886
178,Pointe de l'Échelle,3422,537,45°16′09″N,06°41′07″E,I/B-07.II-D,Savoy,FR,
179,Goléon (fr),3422,330,45°06′13″N,06°19′35″E,I/A-05.I-A,Hautes-Alpes,FR,
180,Aiguille de l'Épéna,3421,330,45°24′53″N,06°49′02″E,I/B-07.II-B,Savoy,FR,1900
181,Bifertenstock / Piz Durschin,3419,383,46°48′16″N,08°57′27″E,I/B-13.II-A,Glarus/Graub.,CH,1863
182,Piz Kesch / Piz d' Es-Cha,3418,1503,46°37′17″N,09°52′22″E,II/A-15.II-B,Graubünden,CH,1846
183,Sommet de Bellecôte,3417,808,45°29′33″N,06°46′57″E,I/B-07.II-B,Savoy,FR,1866
184,Fleckistock / Rot Stock,3416,760,46°42′27″N,08°29′51″E,I/B-12.I-A,Uri,CH,1864
185,Pointe du Bouchet,3416,321,45°15′15″N,06°36′15″E,I/B-07.II-E,Savoy,FR,
186,Aiguille de Chambeyron,3412,771,44°32′52″N,06°51′24″E,I/A-04.I-A,A-d-H-Provence,FR,1879
187,Piz Linard,3411,1028,46°47′56″N,10°04′18″E,II/A-15.VI-A,Graubünden,CH,1835
188,Schrammacher,3410,451,47°01′37″N,11°38′35″E,II/A-17.I-A,North Tyrol,AT,1847
189,Hochfirst,3403,401,46°49′36″N,11°04′52″E,II/A-16.I-A,N-Tyrol/S-Tyrol,AT/IT,1870
190,Rheinwaldhorn,3402,1337,46°29′37″N,09°02′25″E,I/B-10.III-B,Graub./Ticino,CH,1789
191,Aiguille des Arias,3402,432,44°53′44″N,06°10′27″E,I/A-05.III-E,Isère,FR,1876
192,Fluchthorn,3399,647,46°53′27″N,10°13′39″E,II/A-15.VI-A,N-Tyrol/Graub.,AT/CH,1861
193,Piz Calderas,3397,1085,46°32′11″N,09°41′45″E,II/A-15.II-A,Graubünden,CH,1857
194,Großer Bärenkopf,3396,302,47°07′51″N,12°43′54″E,II/A-17.II-C,Salzburg,AT,1869
195,Hohe Geige,3395,458,47°00′17″N,10°54′31″E,II/A-16.I-C,North Tyrol,AT,1853
196,Piz Platta,3392,1108,46°29′14″N,09°33′42″E,II/A-15.I-B,Graubünden,CH,1866
197,Brec de Chambeyron,3389,462,44°31′41″N,06°51′12″E,I/A-04.I-A,AdHP/Cuneo,FR/IT,1878
198,Diechterhorn,3389,308,46°38′55″N,08°21′38″E,I/B-12.I-A,Bern,CH,1864
199,Veneziaspitze / Cima Venezia,3386,354,46°27′14″N,10°41′21″E,II/C-28.I-A,S-Tyrol/Trentino,IT,1867
200,Pic Nord de la Font Sancte,3385,724,44°36′18″N,06°48′01″E,I/A-04.I-B,AdHP/H-Alpes,FR,1879
201,Punta Sulè,3384,311,45°13′53″N,07°08′15″E,I/B-07.I-B,Turin,IT,
202,Rognosa d'Etiache / d'Étache,3383,584,45°08′05″N,06°50′02″E,I/A-04.III-B,Savoy/Turin,FR/IT,1875
203,Piz Güglia / Piz Julier,3380,489,46°29′28″N,09°45′35″E,II/A-15.II-A,Graubünden,CH,1859
204,Grand Tournalin,3379,551,45°52′18″N,07°41′17″E,I/B-09.III-B,Aosta Valley,IT,1863
205,Güferhorn,3379,400,46°30′45″N,09°03′47″E,I/B-10.III-B,Graubünden,CH,1806
206,Cima di Castello,3379,388,46°18′11″N,09°40′37″E,II/A-15.III-B,Graub./Sondrio,CH/IT,1866
207,Großer Löffler,3379,368,47°01′57″N,11°54′57″E,II/A-17.I-B,N-Tyrol/S-Tyrol,AT/IT,1843
208,Mont d'Ambin / Rocca d'Ambin,3378,501,45°09′24″N,06°53′04″E,I/A-04.III-B,Savoy/Turin,FR/IT,1823
209,Punta di Fontanella (it),3378,333,45°54′22″N,07°33′21″E,I/B-09.II-A,Aosta Valley,IT,1864
210,Cima Viola,3374,1073,46°23′01″N,10°11′47″E,II/A-15.IV-B,Sondrio,IT,1875
211,Blinnenhorn / Corno Cieco,3374,945,46°25′33″N,08°18′28″E,I/B-10.I-A,Valais/V-C-O,CH/IT,1866
212,Hoher Eichham,3371,329,47°03′14″N,12°24′24″E,II/A-17.II-A,East Tyrol,AT,1854
213,Monte Confinale (it),3370,376,46°26′58″N,10°30′16″E,II/C-28.I-A,Sondrio,IT,1864
214,Pizzo Cengalo,3369,620,46°17′42″N,09°36′07″E,II/A-15.III-B,Graub./Sondrio,CH/IT,1866
215,Schwarzenstein,3369,342,47°00′36″N,11°52′27″E,II/A-17.I-B,N-Tyrol/S-Tyrol,AT/IT,1852
216,Hoher Tenn,3368,337,47°10′47″N,12°45′34″E,II/A-17.II-C,Salzburg,AT,1840
217,Malhamspitze,3368,321,47°02′57″N,12°15′34″E,II/A-17.II-A,East Tyrol,AT,1873
218,Egginer,3367,378,46°04′31″N,07°55′48″E,I/B-09.V-A,Valais,CH,
219,Piz Fora,3363,432,46°20′27″N,09°47′05″E,II/A-15.III-A,Graub./Sondrio,CH/IT,1875
220,Hochalmspitze,3360,946,47°00′54″N,13°19′16″E,II/A-17.II-F,Carinthia,AT,1855
221,Corno dei Tre Signori,3360,361,46°20′35″N,10°30′56″E,II/C-28.I-A,Bresc/Sond/Trent,IT,1876
222,Wilde Leck,3359,309,47°00′10″N,11°03′45″E,II/A-16.II-A,North Tyrol,AT,1865
223,Schneebiger Nock / Ruthnerhorn,3358,544,46°54′19″N,12°05′03″E,II/A-17.III-A,South Tyrol,IT,1866
224,Grande Roise (it),3357,321,45°40′31″N,07°25′23″E,I/B-07.IV-C,Aosta Valley,IT,1875
225,Rofelewand,3353,528,47°01′57″N,10°49′06″E,II/A-16.I-C,North Tyrol,AT,1873
226,Glockturm,3353,415,46°53′36″N,10°39′56″E,II/A-16.I-A,North Tyrol,AT,1853
227,Puitkogel,3345,392,46°58′53″N,10°54′05″E,II/A-16.I-C,North Tyrol,AT,1894
228,Marmolada (Punta Penia),3343,2134,46°26′05″N,11°51′03″E,II/C-31.III-B,Belluno/Trentino,IT,1864
229,Bric de Rubren / Mongioia (fr),3340,685,44°37′12″N,06°56′59″E,I/A-04.I-A,AdHP/Cuneo,FR/IT,1823
230,Piz Ela,3339,515,46°36′07″N,09°42′27″E,II/A-15.II-A,Graubünden,CH,1865
231,Roteck,3337,483,46°43′25″N,10°59′03″E,II/A-16.I-B,South Tyrol,IT,1872
232,Punta Sommeiller,3332,339,45°07′42″N,06°51′09″E,I/A-04.III-B,U-Savoy/Turin,FR/IT,1871
233,Fuscherkarkopf,3331,490,47°05′56″N,12°44′44″E,II/A-17.II-C,Carinth/Salzburg,AT,1845
234,Corno Baitone,3330,483,46°10′23″N,10°26′28″E,II/C-28.III-A,Brescia,IT,1890
235,Mont Fort,3329,408,46°04′52″N,07°19′07″E,I/B-09.I-D,Valais,CH,1866
236,Oberalpstock,3328,703,46°44′34″N,08°46′10″E,I/B-13.I-A,Graubünden/Uri,CH,1793
237,Grande Rochère,3326,836,45°48′49″N,07°03′41″E,I/B-09.I-A,Aosta Valley,IT,1832
238,Busazza,3326,304,46°13′26″N,10°36′40″E,II/C-28.III-B,Trentino,IT,1889
239,Tête de Lauranoure (fr),3325,385,44°55′35″N,06°09′07″E,I/A-05.III-E,Isère,FR,1879
240,Pizzo Scalino,3323,859,46°16′43″N,09°58′25″E,II/A-15.III-A,Sondrio,IT,1830
241,Pic de Rochebrune,3320,1019,44°49′21″N,06°47′16″E,I/A-04.II-B,Hautes-Alpes,FR,1819
